herb,symptom,preparation,method,dosage
Neem,fever,Grind fresh neem leaves boil in water and filter,Decoction,Drink once daily
Neem,skin,Crush neem leaves and apply paste externally,Paste,Apply twice daily
Tulsi,cough,Boil tulsi leaves with water and inhale steam,Decoction,Once daily
Tulsi,fever,Grind tulsi leaves mix with honey and consume,Paste,Once daily
Mint,headache,Crush mint leaves and inhale aroma,Paste,As needed
Mint,indigestion,Boil mint leaves prepare herbal tea,Tea,After meals
Ginger,cold,Grate ginger boil in water and drink warm,Decoction,Twice daily
Ginger,digestion,Chew small piece of fresh ginger,Raw,Once daily
Turmeric,wound,Mix turmeric powder with coconut oil apply externally,Paste,Once daily
Turmeric,inflammation,Mix turmeric powder with warm milk,Drink,Once daily
Aloe Vera,skin,Apply fresh aloe vera gel on affected area,Gel,Once daily
Aloe Vera,constipation,Consume aloe vera juice after dilution,Juice,Once daily
Ashwagandha,stress,Mix ashwagandha powder with warm milk,Drink,Once daily
Ashwagandha,weakness,Consume powder with honey,Powder,Once daily
Bay Leaf,digestion,Boil bay leaves in water and drink,Decoction,Once daily
Bay Leaf,gas,Consume bay leaf water warm,Drink,Once daily
Cinnamon,diabetes,Boil cinnamon stick in water and drink,Decoction,Once daily
Cinnamon,cold,Mix cinnamon powder with honey,Powder,Once daily
Clove,toothache,Place clove near affected tooth,Raw,As needed
Clove,cough,Boil cloves in water and drink warm,Decoction,Once daily
Coriander,indigestion,Boil coriander seeds and drink,Decoction,After meals
Coriander,fever,Consume coriander seed water,Drink,Once daily
Curry Leaves,diabetes,Chew fresh curry leaves,Raw,Morning daily
Curry Leaves,hair fall,Grind leaves apply paste on scalp,Paste,Twice weekly
Fenugreek,diabetes,Soak fenugreek seeds overnight and drink water,Soaked seeds,Morning daily
Fenugreek,digestion,Consume fenugreek seed powder,Powder,Once daily
Garlic,heart health,Consume raw garlic cloves,Raw,Once daily
Garlic,immunity,Boil garlic in milk and drink,Drink,Once daily
Gotu Kola,memory,Consume fresh gotu kola leaves,Raw,Once daily
Gotu Kola,skin,Apply leaf paste externally,Paste,Once daily
Hibiscus,hair fall,Apply hibiscus flower paste on scalp,Paste,Twice weekly
Hibiscus,blood pressure,Consume hibiscus tea,Tea,Once daily
Indian Gooseberry,immunity,Consume amla juice diluted,Juice,Once daily
Indian Gooseberry,digestion,Consume raw amla,Raw,Once daily
Lemongrass,fever,Boil lemongrass leaves and drink,Tea,Once daily
Lemongrass,headache,Inhale steam from boiled leaves,Steam,As needed
Pepper,cough,Boil pepper with water and honey,Decoction,Once daily
Pepper,digestion,Consume pepper powder with warm water,Powder,Once daily
Pirandai,bone pain,Grind pirandai stems cook and consume,Cooked paste,Once daily
Pirandai,joint pain,Apply heated paste externally,Paste,Once daily
